iter	Passed	Remaining
536	30336	3559
537	30384	3501
538	30432	3444
539	30483	3387
540	30534	3329
541	30584	3272
542	30632	3215
543	30682	3158
544	30731	3101
545	30779	3044
546	30828	2987
547	30878	2930
548	30926	2872
549	30974	2815
550	31024	2758
551	31073	2702
552	31121	2645
553	31171	2588
554	31220	2531
555	31269	2474
556	31319	2417
557	31369	2361
558	31419	2304
559	31468	2247
560	31520	2191
561	31567	2134
562	31614	2077
563	31662	2020
564	31709	1964
565	31756	1907
566	31804	1851
567	31853	1794
568	31904	1738
569	31953	1681
570	32002	1625
571	32049	1568
572	32095	1512
573	32145	1456
574	32192	1399
575	32239	1343
576	32287	1287
577	32334	1230
578	32380	1174
579	32429	1118
580	32475	1062
581	32525	1005
582	32571	949
583	32617	893
584	32663	837
585	32711	781
586	32758	725
587	32805	669
588	32853	613
589	32903	557
590	32950	501
591	32998	445
592	33044	390
593	33090	334
594	33137	278
595	33183	222
596	33230	166
597	33278	111
598	33324	55
599	33370	0
